Re,alpha_deg,CL_fit,CD_fit,CM_fit
74742.95,-28.147871,-0.80970806,0.3138391,0.06785373
75750.83,-28.147871,-0.8105439,0.3131753,0.06798631
76758.7,-28.147871,-0.8111744,0.31266442,0.06807922
77766.58,-28.147871,-0.8112744,0.31249285,0.068102926
78774.45,-28.147871,-0.81070393,0.31273445,0.06804888
79782.33,-28.147871,-0.80957496,0.31331047,0.067935854
80790.2,-28.147871,-0.80822986,0.31400424,0.06780644
81798.08,-28.147871,-0.8071246,0.3145325,0.06771353
82805.95,-28.147871,-0.80664843,0.31465775,0.0676998
83813.83,-28.147871,-0.80694455,0.3142988,0.0677776
84821.7,-28.147871,-0.8078099,0.31359237,0.06791874
85829.58,-28.147871,-0.80874217,0.31286135,0.06806138
86837.45,-28.147871,-0.80915064,0.31248057,0.06813571
87845.33,-28.147871,-0.8086629,0.3126822,0.06810042
88853.2,-28.147871,-0.8073911,0.31338835,0.06797297
89861.08,-28.147871,-0.8059685,0.3141875,0.0678332
90868.95,-28.147871,-0.80525404,0.314527,0.06778525
91876.83,-28.147871,-0.80575097,0.31408554,0.06788732
92884.71,-28.147871,-0.80707246,0.31311744,0.06808783
93892.586,-28.147871,-0.80795765,0.31243932,0.068229854
94900.46,-28.147871,-0.8072216,0.31281638,0.068169616
95908.336,-28.147871,-0.80527896,0.3139763,0.067963175
96916.21,-28.147871,-0.8045746,0.3143295,0.06791584
97924.086,-28.147871,-0.8065575,0.31293806,0.0682029
98931.96,-28.147871,-0.80658066,0.3128275,0.06824059
99939.836,-28.147871,-0.80609363,0.31305036,0.06821941
160.16696,-27.542542,-0.65750825,0.4664487,0.031560205
1168.0425,-27.542542,-0.78570855,0.3016897,0.06808024
2175.918,-27.542542,-0.7357406,0.3015876,0.06562172
3183.7935,-27.542542,-0.72486633,0.299729,0.068310544
4191.669,-27.542542,-0.7493311,0.30002958,0.07447852
5199.5444,-27.542542,-0.7811266,0.31063163,0.078650996
6207.42,-27.542542,-0.80645585,0.32535142,0.07933734
7215.2954,-27.542542,-0.8225059,0.33542863,0.07759979
8223.171,-27.542542,-0.830353,0.33735272,0.07491851
9231.046,-27.542542,-0.83170474,0.33310837,0.07222827
10238.922,-27.542542,-0.8283732,0.32693976,0.06987028
11246.798,-27.542542,-0.822436,0.32230407,0.067876965
12254.673,-27.542542,-0.8160982,0.3205196,0.066222034
13262.548,-27.542542,-0.8112286,0.32098886,0.06492174
14270.424,-27.542542,-0.8088883,0.32220718,0.06402042
15278.3,-27.542542,-0.80914384,0.32278794,0.06353489
16286.175,-27.542542,-0.81123453,0.32206511,0.06341549
17294.049,-27.542542,-0.8139821,0.32018206,0.06354625
18301.924,-27.542542,-0.81626034,0.317814,0.06377741
19309.8,-27.542542,-0.8173475,0.3157544,0.06397019
20317.676,-27.542542,-0.81707036,0.31456134,0.06403254
21325.55,-27.542542,-0.81573933,0.31438208,0.0639351
22333.428,-27.542542,-0.81394196,0.3149685,0.0637048
23341.303,-27.542542,-0.8122871,0.31583196,0.063402876
24349.178,-27.542542,-0.81119484,0.31645173,0.063097745
25357.053,-27.542542,-0.810786,0.31645697,0.06284167
26364.928,-27.542542,-0.81088835,0.3157285,0.062657975
27372.805,-27.542542,-0.81113636,0.31440377,0.062540345
28380.68,-27.542542,-0.8111193,0.31280172,0.062461384
29388.555,-27.542542,-0.8105277,0.31130308,0.062386975
30396.432,-27.542542,-0.80925035,0.31022856,0.0622897
31404.307,-27.542542,-0.8074074,0.30975145,0.062158383
32412.182,-27.542542,-0.8053082,0.30986235,0.06200077
33420.06,-27.542542,-0.8033601,0.31039053,0.061839588
34427.934,-27.542542,-0.8019527,0.3110679,0.06170439
35435.81,-27.542542,-0.8013552,0.3116119,0.06162139
36443.684,-27.542542,-0.80164665,0.3118047,0.06160512
37451.562,-27.542542,-0.80270064,0.31154716,0.061653733
38459.438,-27.542542,-0.80422086,0.3108754,0.061749216
39467.312,-27.542542,-0.80581725,0.30994102,0.061862286
40475.188,-27.542542,-0.80710095,0.3089623,0.06196014
41483.062,-27.542542,-0.80777216,0.30816135,0.062014952
42490.938,-27.542542,-0.8076871,0.3077053,0.062011108
43498.812,-27.542542,-0.80687803,0.30766496,0.061949052
44506.69,-27.542542,-0.8055379,0.30800125,0.061844785
45514.566,-27.542542,-0.8039617,0.30858,0.061725892
46522.44,-27.542542,-0.8024726,0.30921045,0.061624233
47530.316,-27.542542,-0.8013409,0.30969632,0.061567977
48538.19,-27.542542,-0.8007225,0.30988628,0.061574936
49546.066,-27.542542,-0.80062795,0.3097114,0.061647605
50553.938,-27.542542,-0.80092746,0.30920002,0.061773196
51561.812,-27.542542,-0.80139047,0.3084687,0.061926488
52569.688,-27.542542,-0.8017484,0.3076904,0.062075898
